基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
519669,YHLXZQ,债券型,银河领先债券,1.1640,1.5770,1.1640,1.5770,0,0.00,开放申购,开放赎回,0.08%,8.2,0.6,0.2,0.0,0.08
519675,YHTLCZA,债券型,银河泰利纯债A,1.0357,1.5401,1.0353,1.5397,0.0004,0.04,开放申购,开放赎回,0.08%,8.71,0.3,0.1,0.0,0.08
519676,YHQHZQ,债券型,银河强化债券,1.1360,1.8180,1.1360,1.8180,0,0.00,开放申购,开放赎回,0.08%,21.58,0.7,0.2,0.0,0.08
519680,JYZLZQAB,债券型,交银增利债券A/B,1.0271,1.7721,1.0280,1.7730,-0.0009,-0.09,开放申购,开放赎回,0.08%,9.82,0.6,0.2,0.0,0.08
519682,JYZLZQC,债券型,交银增利债券C,1.0249,1.7139,1.0258,1.7148,-0.0009,-0.09,开放申购,开放赎回,0.00%,1.94,0.6,0.2,0.4,0.00
519683,JYSLZQAB,债券型,交银双利债券A/B,1.2798,1.6178,1.2842,1.6222,-0.0044,-0.34,开放申购,开放赎回,0.08%,0.53,0.7,0.2,0.0,0.08
519685,JYSLZQC,债券型,交银双利债券C,1.2294,1.5644,1.2336,1.5686,-0.0042,-0.34,开放申购,开放赎回,0.00%,0.1,0.7,0.2,0.4,0.00
519717,JYSLDZGDJXYZ,债券型,交银施罗德中高等级信用债,1.0170,1.0170,1.0166,1.0166,0.0004,0.04,开放申购,开放赎回,0.30%,30.47,0.2,0.1,0.0,0.30
519726,JYWGSYZQ,债券型,交银稳固收益债券,1.1395,1.5066,1.1437,1.5105,-0.0042,-0.37,开放申购,开放赎回,0.08%,0.5,0.7,0.2,0.0,0.08
519730,JYDQZFYYFZQA,债券型,交银定期支付月月丰债券A,1.6491,1.6491,1.6518,1.6518,-0.0027,-0.16,开放申购,开放赎回,0.08%,0.22,0.7,0.2,0.0,0.08
