基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
007593,PYZZ500ZLCZZSA,股票指数,鹏扬中证500质量成长指数A,1.5062,1.5062,1.5131,1.5131,-0.0069,-0.46,开放申购,开放赎回,0.12%,1.11,0.45,0.1,0.0,0.12
007594,PYZZ500ZLCZZSC,股票指数,鹏扬中证500质量成长指数C,1.4959,1.4959,1.5027,1.5027,-0.0068,-0.45,开放申购,开放赎回,0.00%,0.23,0.45,0.1,0.4,0.00
007794,SWLXZZ500ZSYXZQC,股票指数,申万菱信中证500指数优选增强C,1.6101,1.6101,1.6114,1.6114,-0.0013,-0.08,开放申购,开放赎回,0.00%,0.31,1.0,0.2,0.4,0.00
007795,SWLXZZ500ZSZQC,股票指数,申万菱信中证500指数增强C,1.7521,1.7521,1.7776,1.7776,-0.0255,-1.43,开放申购,开放赎回,0.00%,2.08,1.0,0.2,0.4,0.00
007885,ZRZZ500ETFLJA,联接基金,中融中证500ETF联接A,1.2091,1.2091,1.2162,1.2162,-0.0071,-0.58,开放申购,开放赎回,0.10%,0.39,0.3,0.1,0.0,0.10
007886,ZRZZ500ETFLJC,联接基金,中融中证500ETF联接C,1.2072,1.2072,1.2143,1.2143,-0.0071,-0.58,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.2,0.00
007932,PHZZ500ETFLJA,联接基金,鹏华中证500ETF联接A,1.2883,1.2883,1.2967,1.2967,-0.0084,-0.65,开放申购,开放赎回,0.12%,0.48,0.15,0.05,0.0,0.12
007943,FADZZ500ZSZQ,股票指数,富安达中证500指数增强,1.2535,1.2535,1.2581,1.2581,-0.0046,-0.37,开放申购,开放赎回,0.12%,0.52,0.75,0.15,0.0,0.12
008001,PHZZ500ETFLJC,联接基金,鹏华中证500ETF联接C,1.2857,1.2857,1.2941,1.2941,-0.0084,-0.65,开放申购,开放赎回,0.00%,0.33,0.15,0.05,0.2,0.00
008112,ZTZZ500ZSZQA,股票指数,中泰中证500指数增强A,1.3731,1.3731,1.3749,1.3749,-0.0018,-0.13,开放申购,开放赎回,0.10%,0.46,0.5,0.05,0.0,0.10
008113,ZTZZ500ZSZQC,股票指数,中泰中证500指数增强C,1.3671,1.3671,1.3689,1.3689,-0.0018,-0.13,开放申购,开放赎回,0.00%,0.52,0.5,0.05,0.4,0.00
008124,ZYZZ500ZSZQC,股票指数,中邮中证500指数增强C,1.3758,1.3758,1.3934,1.3934,-0.0176,-1.26,开放申购,开放赎回,0.00%,0.01,0.6,0.2,0.3,0.00
008258,ZYZQZZ500ETFLJA,联接基金,中银证券中证500ETF联接A,1.2465,1.2465,1.2555,1.2555,-0.0090,-0.72,开放申购,开放赎回,0.12%,0.51,0.15,0.05,0.0,0.12
008259,ZYZQZZ500ETFLJC,联接基金,中银证券中证500ETF联接C,1.2449,1.2449,1.2538,1.2538,-0.0089,-0.71,开放申购,开放赎回,0.00%,0.2,0.15,0.05,0.2,0.00
008396,BSZZ500ETFLJA,联接基金,博时中证500ETF联接A,1.2824,1.2824,1.2907,1.2907,-0.0083,-0.64,开放申购,开放赎回,0.12%,3.0,0.15,0.05,0.0,0.12
008397,BSZZ500ETFLJC,联接基金,博时中证500ETF联接C,1.2784,1.2784,1.2867,1.2867,-0.0083,-0.65,开放申购,开放赎回,0.00%,2.63,0.15,0.05,0.3,0.00
008778,JSZZ500ZSZQA,股票指数,嘉实中证500指数增强A,1.3120,1.3120,1.3195,1.3195,-0.0075,-0.57,开放申购,开放赎回,0.10%,0.56,1.0,0.2,0.0,0.10
008779,JSZZ500ZSZQC,股票指数,嘉实中证500指数增强C,1.3068,1.3068,1.3143,1.3143,-0.0075,-0.57,开放申购,开放赎回,0.00%,0.32,1.0,0.2,0.4,0.00
009004,HFTZZ500ZQC,股票指数,海富通中证500增强C,1.9604,1.9604,1.9881,1.9881,-0.0277,-1.39,开放申购,开放赎回,0.00%,0.01,0.8,0.2,0.25,0.00
009300,XBLDZZ500ZSZQC,股票指数,西部利得中证500指数增强C,1.5132,1.5132,1.5267,1.5267,-0.0135,-0.88,开放申购,开放赎回,0.00%,0.93,1.0,0.2,0.4,0.00
009336,PAZZ500ZSZQA,股票指数,平安中证500指数增强A,1.2693,1.2693,1.2794,1.2794,-0.0101,-0.79,开放申购,开放赎回,0.12%,0.16,1.0,0.15,0.0,0.12
009337,PAZZ500ZSZQC,股票指数,平安中证500指数增强C,1.2653,1.2653,1.2753,1.2753,-0.01,-0.78,开放申购,开放赎回,0.00%,0.19,1.0,0.15,0.5,0.00
009608,GFZZ500ZSZQA,股票指数,广发中证500指数增强A,1.0220,1.0220,1.0302,1.0302,-0.0082,-0.80,开放申购,开放赎回,0.15%,2.89,1.0,0.25,0.0,0.15
