,净值日期,累计净值,单位净值,日增长率,复权净值,相对净值
3761,2021-02-01,3.4304,1.5091,1.17,6.059191747205735,0.3552710731638126
3762,2021-02-02,3.4524,1.5311,1.46,6.147655946714938,0.3750580308320042
3763,2021-02-03,3.4482,1.5269,-0.27,6.131057275658807,0.3713453741487576
3764,2021-02-04,3.4452,1.5239,-0.2,6.1187951611074896,0.36860268340046015
3765,2021-02-05,3.4477,1.5264,0.16,6.1285852333652615,0.37079244769390085
3766,2021-02-08,3.4689,1.5476,1.39,6.2137725681090386,0.3898464627168461
3767,2021-02-09,3.5009,1.5796,2.07,6.342397660268896,0.41861628449508476
3768,2021-02-10,3.533,1.6117,2.03,6.471148332772354,0.447414195070335
3769,2021-02-18,3.5226,1.6013,-0.65,6.429085868609334,0.43800600280237795
3770,2021-02-19,3.5252,1.6039,0.16,6.4393724059991095,0.44030681240686176
3771,2021-02-22,3.4775,1.5562,-2.97,6.248123045540936,0.397529700078378
3772,2021-02-23,3.4728,1.5515,-0.3,6.2293786764043135,0.39333711097814295
3773,2021-02-24,3.4352,1.5139,-2.42,6.078627712435329,0.35961835289247196
3774,2021-02-25,3.4436,1.5223,0.55,6.112060164853724,0.3670962538333806
3775,2021-02-26,3.4086,1.4873,-2.3,5.971482781062088,0.33565303999521273
3776,2021-03-01,3.4301,1.5088,1.45,6.058069281387488,0.3550200090751433
3777,2021-03-02,3.4116,1.4903,-1.23,5.983555029226422,0.3383532629635191
3778,2021-03-03,3.4388,1.5175,1.83,6.093054086261265,0.3628451276757514
3779,2021-03-04,3.3935,1.4722,-2.99,5.910871769082053,0.3220960583582464
3780,2021-03-05,3.3889,1.4676,-0.31,5.892548066597899,0.3179975605773359
3781,2021-03-08,3.3405,1.4192,-3.3,5.698093980400168,0.27450364107828373
3782,2021-03-09,3.3117,1.3904,-2.03,5.582422672598045,0.24863121716439462
3783,2021-03-10,3.3203,1.399,0.62,5.617033693168152,0.25637273071081373
3784,2021-03-11,3.3533,1.432,2.36,5.749595688326921,0.28602312715558903
3785,2021-03-12,3.358,1.4367,0.33,5.768569354098401,0.2902670034752026
3786,2021-03-15,3.3286,1.4073,-2.05,5.650313682339384,0.26381652990396104
3787,2021-03-16,3.3402,1.4189,0.82,5.696646254534567,0.27417982544917363
3788,2021-03-17,3.3459,1.4246,0.4,5.719432839552705,0.27927654475097025
3789,2021-03-18,3.3565,1.4352,0.74,5.761756642565396,0.28874319118212755
3790,2021-03-19,3.3208,1.3995,-2.49,5.618288902165517,0.25665348572169255
3791,2021-03-22,3.3341,1.4128,0.95,5.67166264673609,0.2685916938360487
3792,2021-03-23,3.3214,1.4001,-0.9,5.620617682915465,0.2571743685915242
3793,2021-03-24,3.3003,1.379,-1.51,5.535746355903441,0.23819103562579222
3794,2021-03-25,3.2998,1.3785,-0.04,5.5335320573610804,0.23769575921154198
3795,2021-03-26,3.3294,1.4081,2.15,5.652502996594344,0.2643062180345902
3796,2021-03-29,3.3318,1.4105,0.17,5.662112251688555,0.2664555386052491
3797,2021-03-30,3.3444,1.4231,0.89,5.712505050728582,0.2777269928988357
3798,2021-03-31,3.3321,1.4108,-0.86,5.663377507292316,0.26673854075990566
3799,2021-04-01,3.3488,1.4275,1.18,5.730205361878366,0.28168605554087267
3800,2021-04-02,3.3622,1.4409,0.94,5.784069292280023,0.2937339044629569
3801,2021-04-06,3.3566,1.4353,-0.39,5.7615114220401304,0.2886883422355513
3802,2021-04-07,3.3468,1.4255,-0.68,5.722333144370257,0.2799252615083494
3803,2021-04-08,3.3491,1.4278,0.16,5.73148887740125,0.28197314192676287
3804,2021-04-09,3.3289,1.4076,-1.41,5.650674884229892,0.2638973206255955
3805,2021-04-12,3.3057,1.3844,-1.65,5.5574387486401,0.2430430148352733
3806,2021-04-13,3.3036,1.3823,-0.15,5.54910259051714,0.24117845031302043
3807,2021-04-14,3.3145,1.3932,0.79,5.592940500982225,0.2509837600704933
3808,2021-04-15,3.3061,1.3848,-0.6,5.559382857976332,0.24347785751007042
3809,2021-04-16,3.3107,1.3894,0.33,5.577728821407654,0.24758133443985375
3810,2021-04-19,3.3422,1.4209,2.27,5.704343265653608,0.2759014307316384
