,净值日期,复权净值,复权净值临时,日增长率,相对净值
140,2018/7/30,1.136247468,1.075622468,-0.003441694,0.007079221
141,2018/7/31,1.138501321,1.077551321,0.001983594,0.009076857
142,2018/8/1,1.131709708,1.070324708,-0.005965398,0.003057312
143,2018/8/2,1.124615092,1.062765092,-0.006268937,-0.00323079
144,2018/8/3,1.122157436,1.059792436,-0.002185331,-0.005409061
145,2018/8/6,1.119720751,1.056845751,-0.002171429,-0.007568744
146,2018/8/7,1.130360959,1.067375959,0.009502555,0.001861888
147,2018/8/8,1.123534896,1.060599896,-0.006038835,-0.00418819
148,2018/8/9,1.131118981,1.068198981,0.0067502,0.002533739
149,2018/8/10,1.129957035,1.067412035,-0.001027253,0.001503883
150,2018/8/13,1.129576792,1.066896792,-0.000336512,0.001166865
151,2018/8/14,1.130475145,1.067370145,0.000795301,0.001963094
152,2018/8/15,1.120185097,1.057660097,-0.009102409,-0.007157184
153,2018/8/16,1.119412175,1.056647175,-0.000689995,-0.007842241
154,2018/8/17,1.114319114,1.051569114,-0.004549764,-0.012356325
155,2018/8/20,1.117718539,1.055178539,0.003050675,-0.009343345
156,2018/8/21,1.122871592,1.060441592,0.004610332,-0.004776089
157,2018/8/22,1.12029591,1.05772591,-0.002293835,-0.007058969
158,2018/8/23,1.121766776,1.059196776,0.001312927,-0.00575531
159,2018/8/24,1.127421442,1.063976442,0.005040857,-0.000743465
160,2018/8/27,1.13766989,1.07382989,0.009090166,0.008339942
161,2018/8/28,1.135133889,1.071628889,-0.002229118,0.006092233
162,2018/8/29,1.13661859,1.07238859,0.001307952,0.007408154
163,2018/8/30,1.132310444,1.068175444,-0.003790318,0.003589757
164,2018/8/31,1.130725654,1.066380654,-0.001399607,0.002185125
165,2018/9/3,1.130725654,1.066380654,0,0.002185125
166,2018/9/4,1.133010594,1.068985594,0.002020773,0.004210314
167,2018/9/5,1.124832231,1.061522231,-0.007218258,-0.003038335
168,2018/9/6,1.120486585,1.057766585,-0.003863373,-0.00688997
169,2018/9/7,1.120730645,1.058200645,0.000217817,-0.006673654
170,2018/9/10,1.117519698,1.054734698,-0.002865048,-0.009519582
171,2018/9/11,1.118610051,1.055260051,0.00097569,-0.00855318
172,2018/9/12,1.117210581,1.053975581,-0.00125108,-0.009793559
173,2018/9/13,1.122858419,1.059078419,0.005055303,-0.004787765
174,2018/9/14,1.120672426,1.057137426,-0.001946811,-0.006725256
175,2018/9/17,1.114169826,1.051394826,-0.005802409,-0.012488642
176,2018/9/18,1.12326108,1.05996608,0.008159667,-0.004430878
177,2018/9/19,1.12853908,1.06526908,0.004698818,0.00024712
178,2018/9/20,1.131301886,1.067441886,0.002448126,0.002695851
179,2018/9/21,1.139586892,1.076186892,0.007323427,0.010039021
180,2018/9/25,1.135671127,1.071946127,-0.003436127,0.006568399
181,2018/9/26,1.139414825,1.075574825,0.003296463,0.009886514
182,2018/9/27,1.138277691,1.073837691,-0.000997998,0.008878649
183,2018/9/28,1.141319479,1.076759479,0.002672272,0.011574647
184,2018/10/8,1.123661977,1.061201977,-0.015471129,-0.004075555
185,2018/10/9,1.123185793,1.060510793,-0.000423779,-0.004497607
186,2018/10/10,1.109273405,1.049188405,-0.012386542,-0.016828439
187,2018/10/11,1.085620777,1.026175777,-0.021322632,-0.037792244
188,2018/10/12,1.097090887,1.035955887,0.010565485,-0.027626053
189,2018/10/15,1.090471198,1.030031198,-0.006033857,-0.033493218
190,2018/10/16,1.09578115,1.03367115,0.004869411,-0.028786899
191,2018/10/17,1.097037396,1.034927396,0.001146439,-0.027673463
192,2018/10/18,1.084041378,1.023101378,-0.011846468,-0.039192098
193,2018/10/19,1.094596116,1.033636116,0.009736472,-0.029837218
194,2018/10/22,1.106010617,1.044910617,0.010428047,-0.019720315
195,2018/10/23,1.096412538,1.035407538,-0.008678107,-0.028227287
196,2018/10/24,1.083199127,1.024879127,-0.012051496,-0.039938602
197,2018/10/25,1.091217383,1.030992383,0.007402384,-0.032831858
198,2018/10/26,1.083257287,1.024362287,-0.007294693,-0.039887053
