基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
000988,JSQQHLWGPRMB,QDII,嘉实全球互联网股票人民币,,,2.1720,2.1720,,,开放申购,开放赎回,0.15%
000989,JSQQHLWGPMYXH,QDII,嘉实全球互联网股票美元现汇,,,2.0430,2.0430,,,开放申购,开放赎回,1.50%
000990,JSQQHLWGPMYXC,QDII,嘉实全球互联网股票美元现钞,,,2.0430,2.0430,,,开放申购,开放赎回,1.50%
000991,GYZLZXGP,股票型,工银战略转型股票,3.0970,3.0970,3.1030,3.1030,-0.0060,-0.19,限大额,开放赎回,0.15%
000992,GFDCTLDQKFHH,混合型,广发对冲套利定期开放混合,,,,,,,暂停申购,暂停赎回,0.15%
000993,HBWJHBHH,混合型,华宝稳健回报混合,1.8270,1.8270,1.8540,1.8540,-0.0270,-1.46,开放申购,开放赎回,0.15%
000994,JXRYLHPZHHA,混合型,建信睿盈灵活配置混合A,1.7260,1.7260,1.7420,1.7420,-0.0160,-0.92,开放申购,开放赎回,0.15%
000995,JXRYLHPZHHC,混合型,建信睿盈灵活配置混合C,1.6350,1.6350,1.65,1.65,-0.0150,-0.91,开放申购,开放赎回,0.00%
000996,ZYXDLGP,股票型,中银新动力股票,1.4610,1.4610,1.4990,1.4990,-0.0380,-2.54,开放申购,开放赎回,0.15%
000997,NFSYA,债券型,南方双元A,1.2310,1.2570,1.2310,1.2570,0,0.00,开放申购,开放赎回,0.08%
000998,NFSYC,债券型,南方双元C,1.2090,1.2350,1.21,1.2360,-0.0010,-0.08,开放申购,开放赎回,0.00%
001000,ZOMRXQDHH,混合型,中欧明睿新起点混合,2.2210,2.2210,2.2510,2.2510,-0.03,-1.33,开放申购,开放赎回,0.15%
001001,HXZQAB,债券型,华夏债券A/B,1.2690,2.1590,1.2730,2.1630,-0.0040,-0.31,限大额,开放赎回,0.10%
001003,HXZQC,债券型,华夏债券C,1.25,2.10,1.2540,2.1040,-0.0040,-0.32,限大额,开放赎回,0.00%
001004,XHWJHBHHFQS,混合型,新华稳健回报混合发起式,1.7862,1.7862,1.8091,1.8091,-0.0229,-1.27,开放申购,开放赎回,0.12%
001007,GLAXALHPZHH,混合型,国联安鑫安灵活配置混合,1.5282,2.2892,1.5415,2.3025,-0.0133,-0.86,限大额,开放赎回,0.07%
001008,GYGQGGGP,股票型,工银国企改革股票,2.5150,2.5150,2.5420,2.5420,-0.0270,-1.06,开放申购,开放赎回,0.15%
001009,STMGAQZLGP,股票型,上投摩根安全战略股票,2.0476,2.2942,2.0713,2.3179,-0.0237,-1.14,开放申购,开放赎回,0.15%
001011,HXXWZQA,债券型,华夏希望债券A,1.2430,1.7930,1.2450,1.7950,-0.0020,-0.16,开放申购,开放赎回,0.10%
001013,HXXWZQC,债券型,华夏希望债券C,1.2140,1.7440,1.2160,1.7460,-0.0020,-0.16,开放申购,开放赎回,0.00%
001014,ZRRAHH,混合型,中融融安混合,1.0594,1.0594,1.0722,1.0722,-0.0128,-1.19,开放申购,开放赎回,0.15%
001015,HXHS300ZSZQA,股票指数,华夏沪深300指数增强A,2.1870,2.1870,2.1940,2.1940,-0.0070,-0.32,开放申购,开放赎回,0.12%
001016,HXHS300ZSZQC,股票指数,华夏沪深300指数增强C,2.1230,2.1230,2.1290,2.1290,-0.0060,-0.28,开放申购,开放赎回,0.00%
001017,TDGGDLHHA,混合型,泰达改革动力混合A,2.2464,2.4764,2.2820,2.5120,-0.0356,-1.56,开放申购,开放赎回,0.15%
001018,YFDXJJHH,混合型,易方达新经济混合,3.5560,3.5560,3.6140,3.6140,-0.0580,-1.60,开放申购,开放赎回,0.15%
001019,XYNNLDKZ,定开债券,兴业年年利定开债,,,,,,,暂停申购,暂停赎回,0.06%
001021,HXYZZGZSA,债券指数,华夏亚债中国指数A,1.1920,1.4040,1.19,1.4020,0.0020,0.17,开放申购,开放赎回,0.08%
001023,HXYZZGZSC,债券指数,华夏亚债中国指数C,1.1460,1.3560,1.1440,1.3540,0.0020,0.17,开放申购,开放赎回,0.00%
001027,QHKYZZDNYZSZQ,股票指数,前海开源中证大农业指数增强,1.49,1.49,1.4980,1.4980,-0.0080,-0.53,开放申购,开放赎回,0.12%
001028,HAWLWZTGP,股票型,华安物联网主题股票,1.2970,1.2970,1.3010,1.3010,-0.0040,-0.31,开放申购,开放赎回,0.15%
001030,THYDSHYX,混合型,天弘云端生活优选,1.5972,1.5972,1.6141,1.6141,-0.0169,-1.05,开放申购,开放赎回,0.15%
001031,HXAKZQA,债券型,华夏安康债券A,1.5880,1.7480,1.5970,1.7570,-0.0090,-0.56,开放申购,开放赎回,0.08%
001033,HXAKZQC,债券型,华夏安康债券C,1.5460,1.7060,1.5550,1.7150,-0.0090,-0.58,开放申购,开放赎回,0.00%
001035,ZYHLBNDKZ,定开债券,中银恒利半年定开债,,,,,,,暂停申购,暂停赎回,0.08%
001036,JSQYBGGP,股票型,嘉实企业变革股票,1.8120,1.8120,1.8480,1.8480,-0.0360,-1.95,开放申购,开放赎回,0.15%
001037,GTRYRYGGHH,混合型,国投瑞银锐意改革混合,1.4240,1.6440,1.4410,1.6610,-0.0170,-1.18,开放申购,开放赎回,0.15%
001039,JSXJZZGP,股票型,嘉实先进制造股票,1.9630,1.9630,1.9920,1.9920,-0.0290,-1.46,开放申购,开放赎回,0.15%
001040,XHCLJXGP,股票型,新华策略精选股票,2.3773,2.3773,2.4043,2.4043,-0.0270,-1.12,开放申购,开放赎回,0.15%
001041,NFLC60TZQE,债券型,南方理财60天债券E,,,,,,,暂停申购,暂停赎回,0.00%
001042,HXLXGP,股票型,华夏领先股票,0.9170,0.9170,0.93,0.93,-0.0130,-1.40,开放申购,开放赎回,0.15%
001043,GYMLCZGP,股票型,工银美丽城镇股票,2.6640,2.6640,2.6780,2.6780,-0.0140,-0.52,开放申购,开放赎回,0.15%
001044,JSXXFGP,股票型,嘉实新消费股票,2.5750,2.6450,2.5740,2.6440,0.0010,0.04,限大额,开放赎回,0.15%
001045,HXKZZZQZQA,债券型,华夏可转债增强债券A,1.7050,1.7050,1.7120,1.7120,-0.0070,-0.41,开放申购,开放赎回,0.08%
001046,HXKZZZQZQI,债券型,华夏可转债增强债券I,,,,,,,基金终止,开放赎回,0.00%
001047,GDGQGGGP,股票型,光大国企改革股票,2.2160,2.2160,2.23,2.23,-0.0140,-0.63,开放申购,开放赎回,0.15%
001048,FGXXCYGP,股票型,富国新兴产业股票,2.0320,2.0320,2.0640,2.0640,-0.0320,-1.55,开放申购,开放赎回,0.15%
001050,HTFCZDYZLHCLGP,股票型,汇添富成长多因子量化策略股票,1.7190,1.7190,1.7310,1.7310,-0.0120,-0.69,开放申购,开放赎回,0.15%
001051,HXSZ50ETFLJA,联接基金,华夏上证50ETF联接A,1.3305,1.3305,1.3411,1.3411,-0.0106,-0.79,开放申购,开放赎回,0.12%
001052,HXZZ500ETFLJA,联接基金,华夏中证500ETF联接A,0.7257,0.7257,0.7306,0.7306,-0.0049,-0.67,开放申购,开放赎回,0.12%
001053,NFCXJJ,混合型,南方创新经济,3.0840,3.0840,3.1160,3.1160,-0.0320,-1.03,开放申购,开放赎回,0.15%
001054,GYXJRGP,股票型,工银新金融股票,2.9250,2.9250,2.94,2.94,-0.0150,-0.51,开放申购,开放赎回,0.15%
001056,BXRFJKSH,混合型,北信瑞丰健康生活,1.4580,1.4580,1.4830,1.4830,-0.0250,-1.69,开放申购,开放赎回,0.15%
001057,HXLC30TZQA,债券型,华夏理财30天债券A,1.0064,1.0064,1.0063,1.0063,0.0001,0.01,限大额,开放赎回,0.00%
001058,HXLC30TZQB,债券型,华夏理财30天债券B,1.0065,1.0065,1.0063,1.0063,0.0002,0.02,限大额,开放赎回,0.00%
001059,ZJJDSY,混合型,中金绝对收益,1.1250,1.1250,1.1260,1.1260,-0.0010,-0.09,封闭期,封闭期,0.15%
001060,QHKYGDZBZZHH,混合型,前海开源高端装备制造混合,1.9530,1.9530,1.9450,1.9450,0.0080,0.41,开放申购,开放赎回,0.15%
001061,HXSYZQQDIIA,QDII,华夏收益债券(QDII)A,,,1.2750,1.4770,,,限大额,开放赎回,0.08%
001063,HXSYZQQDIIC,QDII,华夏收益债券(QDII)C,,,1.2380,1.4330,,,限大额,开放赎回,0.00%
001064,GFZZHBETFLJA,联接基金,广发中证环保ETF联接A,0.9494,0.9494,0.9602,0.9602,-0.0108,-1.12,开放申购,开放赎回,0.12%
001065,HXHWSYZQXH,QDII,华夏海外收益债券现汇,,,0.1967,0.2269,,,限大额,开放赎回,0.80%
001067,PHHSHHA,混合型,鹏华弘盛混合A,1.4894,1.4894,1.4904,1.4904,-0.0010,-0.07,限大额,开放赎回,0.15%
001068,HRXRLHPZHH,混合型,华融新锐灵活配置混合,1.2670,1.2670,1.2690,1.2690,-0.0020,-0.16,开放申购,开放赎回,0.12%
001069,HTBRXFCZHH,混合型,华泰柏瑞消费成长混合,2.8190,2.8190,2.8740,2.8740,-0.0550,-1.91,开放申购,开放赎回,0.15%
001070,JXXXCYGP,股票型,建信信息产业股票,2.74,2.74,2.7360,2.7360,0.0040,0.15,开放申购,开放赎回,0.15%
001071,HAMTHLWHH,混合型,华安媒体互联网混合,2.4870,2.4870,2.4960,2.4960,-0.0090,-0.36,限大额,开放赎回,0.15%
001072,HAZNZBZTGP,股票型,华安智能装备主题股票,2.1860,2.2390,2.2010,2.2540,-0.0150,-0.68,开放申购,开放赎回,0.15%
001073,HTBRLHJDSYHH,混合型,华泰柏瑞量化绝对收益混合,1.1941,1.1941,1.1953,1.1953,-0.0012,-0.10,暂停申购,暂停赎回,0.15%
001074,HTBRLHQDHHA,混合型,华泰柏瑞量化驱动混合A,1.5890,1.5890,1.5928,1.5928,-0.0038,-0.24,开放申购,开放赎回,0.15%
001075,BYZXDLHH,混合型,宝盈转型动力混合,1.0360,1.0360,1.0610,1.0610,-0.0250,-2.36,开放申购,开放赎回,0.15%
001076,YFDGGHLHH,混合型,易方达改革红利混合,2.1930,2.1930,2.2190,2.2190,-0.0260,-1.17,开放申购,开放赎回,0.15%
001086,HFHLZQA,债券型,华富恒利债券A,1.1590,1.2030,1.1580,1.2020,0.0010,0.09,开放申购,开放赎回,0.08%
001087,HFHLZQC,债券型,华富恒利债券C,1.13,1.1510,1.13,1.1510,0,0.00,开放申购,开放赎回,0.00%
001088,HBGCDXHH,混合型,华宝国策导向混合,1.1070,1.1070,1.1150,1.1150,-0.0080,-0.72,开放申购,开放赎回,0.15%
001092,GFSWKJZSQDII,QDII-指数,广发生物科技指数(QDII),,,1.2770,1.2770,,,限大额,开放赎回,0.13%
001093,GFSWKJZSMY,QDII-指数,广发生物科技指数美元,,,0.1970,0.1970,,,限大额,开放赎回,1.30%
001097,HTBRJJYXGP,股票型,华泰柏瑞积极优选股票,0.9450,0.9450,0.9660,0.9660,-0.0210,-2.17,开放申购,开放赎回,0.15%
001102,QHKYGJBJYSHH,混合型,前海开源国家比较优势混合,4.2440,4.2440,4.2770,4.2770,-0.0330,-0.77,开放申购,开放赎回,0.15%
001103,QHKYGYGM40HH,混合型,前海开源工业革命4.0混合,2.2350,2.36,2.2280,2.3530,0.0070,0.31,开放申购,开放赎回,0.15%
001104,HAXSLZTGP,股票型,华安新丝路主题股票,2.7560,2.8650,2.8030,2.9120,-0.0470,-1.68,开放申购,开放赎回,0.15%
001105,XDAYZXCXGP,股票型,信达澳银转型创新股票,1.3490,1.3490,1.3630,1.3630,-0.0140,-1.03,开放申购,开放赎回,0.15%
001106,HSJKSHHH,混合型,华商健康生活混合,1.6240,1.6740,1.6470,1.6970,-0.0230,-1.40,开放申购,开放赎回,0.15%
001110,ZOJQLHPZHHA,混合型,中欧瑾泉灵活配置混合A,1.9484,1.9484,1.9519,1.9519,-0.0035,-0.18,限大额,开放赎回,1.00%
001111,ZOJQLHPZHHC,混合型,中欧瑾泉灵活配置混合C,1.5349,1.5349,1.5377,1.5377,-0.0028,-0.18,限大额,开放赎回,0.00%
001112,DFHZGYSHH,混合型,东方红中国优势混合,2.9290,2.9290,2.9540,2.9540,-0.0250,-0.85,开放申购,开放赎回,1.50%
001113,NFDSJ100A,股票指数,南方大数据100A,1.0495,1.0495,1.0525,1.0525,-0.0030,-0.29,开放申购,开放赎回,0.12%
001115,GFJAHHA,混合型,广发聚安混合A,1.3420,1.7560,1.34,1.7540,0.0020,0.15,限大额,开放赎回,0.12%
001116,GFJAHHC,混合型,广发聚安混合C,1.3180,1.5680,1.3160,1.5660,0.0020,0.15,限大额,开放赎回,0.00%
001117,ZOJXDQKFHHA,混合型,中欧精选定期开放混合A,2.0810,2.0810,2.0990,2.0990,-0.0180,-0.86,暂停申购,暂停赎回,0.15%
001118,HBSJQDHH,混合型,华宝事件驱动混合,1.1260,1.1260,1.1330,1.1330,-0.0070,-0.62,开放申购,开放赎回,0.15%
001120,DFRXRDWJHHA,混合型,东方睿鑫热点挖掘混合A,0.9757,0.9757,0.9892,0.9892,-0.0135,-1.36,开放申购,开放赎回,0.12%
001121,DFRXRDWJHHC,混合型,东方睿鑫热点挖掘混合C,0.9121,0.9121,0.9247,0.9247,-0.0126,-1.36,开放申购,开放赎回,0.00%
001122,PHHLHHA,混合型,鹏华弘利混合A,1.3695,1.4773,1.3727,1.4805,-0.0032,-0.23,限大额,开放赎回,0.15%
001123,PHHLHHC,混合型,鹏华弘利混合C,1.3740,1.4548,1.3772,1.4580,-0.0032,-0.23,限大额,开放赎回,0.15%
001124,RTZQSYZQC,债券型,融通增强收益债券C,1.1746,1.4568,1.1770,1.4598,-0.0024,-0.20,开放申购,开放赎回,0.00%
001125,BSHLWZTLHPZHH,混合型,博时互联网主题灵活配置混合,1.4370,1.4370,1.4470,1.4470,-0.01,-0.69,开放申购,开放赎回,0.15%
001126,STMGZYZZGP,股票型,上投摩根卓越制造股票,1.8406,1.9701,1.8663,1.9958,-0.0257,-1.38,开放申购,开放赎回,0.15%
001127,ZYHGCLHH,混合型,中银宏观策略混合,1.2750,1.2750,1.2980,1.2980,-0.0230,-1.77,开放申购,开放赎回,0.15%
001128,BYXXCYHH,混合型,宝盈新兴产业混合,0.9740,0.9740,0.9760,0.9760,-0.0020,-0.20,开放申购,开放赎回,0.15%
001133,GFZZQZKXXFLJA,联接基金,广发中证全指可选消费联接A,1.0598,1.0598,1.0631,1.0631,-0.0033,-0.31,开放申购,开放赎回,0.12%
001135,YMPZSJHH,混合型,益民品质升级混合,1.3590,1.3590,1.3530,1.3530,0.0060,0.44,开放申购,开放赎回,0.15%
001136,YFDYRHH,混合型,易方达裕如混合,1.24,1.3910,1.24,1.3910,0,0.00,暂停申购,开放赎回,1.50%
001139,HAXDLLHPZHH,混合型,华安新动力灵活配置混合,1.2860,1.2860,1.2870,1.2870,-0.0010,-0.08,限大额,开放赎回,0.15%
001140,GYZHBLHPZHH,混合型,工银总回报灵活配置混合,2.3020,2.3020,2.3120,2.3120,-0.01,-0.43,开放申购,开放赎回,0.15%
001141,TDHLCYHHA,混合型,泰达宏利创盈混合A,1.8110,1.8110,1.8010,1.8010,0.01,0.56,开放申购,开放赎回,0.10%
001142,TDHLCYHHB,混合型,泰达宏利创盈混合B,1.7620,1.7620,1.7530,1.7530,0.0090,0.51,开放申购,开放赎回,0.00%
001143,HSLHJQHH,混合型,华商量化进取混合,1.62,1.62,1.6460,1.6460,-0.0260,-1.58,开放申购,开放赎回,0.15%
001144,DCHLWSWHH,混合型,大成互联网思维混合,1.6740,1.6740,1.7020,1.7020,-0.0280,-1.65,开放申购,开放赎回,0.12%
001146,ZOJYLHPZHHA,混合型,中欧瑾源灵活配置混合A,1.5688,1.5688,1.57,1.57,-0.0012,-0.08,限大额,开放赎回,1.00%
001147,ZOJYLHPZHHC,混合型,中欧瑾源灵活配置混合C,1.4603,1.4603,1.4615,1.4615,-0.0012,-0.08,限大额,开放赎回,0.00%
001148,SWLXDCLLHPZHHA,混合型,申万菱信多策略灵活配置混合A,1.4740,1.6770,1.4780,1.6810,-0.0040,-0.27,限大额,开放赎回,0.07%
001149,HFJXHSLTZSC,股票指数,汇丰晋信恒生龙头指数C,2.2813,2.8313,2.2951,2.8451,-0.0138,-0.60,开放申购,开放赎回,0.00%
001150,RTHLWCMLHPZHH,混合型,融通互联网传媒灵活配置混合,1.0340,1.0340,1.05,1.05,-0.0160,-1.52,开放申购,开放赎回,0.15%
001152,RTXQYXJJLHPZHH,混合型,融通新区域新经济灵活配置混合,1.0570,1.0570,1.0690,1.0690,-0.0120,-1.12,开放申购,开放赎回,0.15%
001154,BXRFPAZG,混合型,北信瑞丰平安中国,1.3870,1.3870,1.4160,1.4160,-0.0290,-2.05,开放申购,开放赎回,0.15%
001156,SWLXXNYQCHH,混合型,申万菱信新能源汽车混合,2.4740,2.4740,2.5350,2.5350,-0.0610,-2.41,开放申购,开放赎回,0.15%
001157,GLARQLHPZHH,混合型,国联安睿祺灵活配置混合,1.6433,1.6433,1.6459,1.6459,-0.0026,-0.16,限大额,开放赎回,0.15%
001158,GYXCLXNYGP,股票型,工银新材料新能源股票,1.5430,1.5430,1.5650,1.5650,-0.0220,-1.41,开放申购,开放赎回,0.15%
001162,QHKYYSLCGPA,股票型,前海开源优势蓝筹股票A,1.9250,1.9250,1.9170,1.9170,0.0080,0.42,开放申购,开放赎回,0.15%
001163,YHZGM30GP,股票型,银华中国梦30股票,2.5380,2.5380,2.5860,2.5860,-0.0480,-1.86,开放申购,开放赎回,0.15%
001164,ZOQHLHPZHHA,混合型,中欧琪和灵活配置混合A,1.1960,1.4245,1.1972,1.4257,-0.0012,-0.10,开放申购,开放赎回,0.10%
001165,ZOQHLHPZHHC,混合型,中欧琪和灵活配置混合C,1.1820,1.3159,1.1832,1.3171,-0.0012,-0.10,限大额,开放赎回,0.00%
001166,JXHBCYGP,股票型,建信环保产业股票,1.3370,1.3370,1.3550,1.3550,-0.0180,-1.33,开放申购,开放赎回,0.15%
001167,JYKJCXGP,股票型,金鹰科技创新股票,1.2010,1.2010,1.2090,1.2090,-0.0080,-0.66,开放申购,开放赎回,0.15%
001170,TDHLFXHH,混合型,泰达宏利复兴混合,1.90,1.90,1.9340,1.9340,-0.0340,-1.76,开放申购,开放赎回,0.15%
001171,GYYLCYGP,股票型,工银养老产业股票,1.9080,1.9080,1.94,1.94,-0.0320,-1.65,开放申购,开放赎回,0.15%
001172,PHHZHHA,混合型,鹏华弘泽混合A,1.4495,1.4495,1.4532,1.4532,-0.0037,-0.25,限大额,开放赎回,0.15%
001173,ZOJHLHPZHHA,混合型,中欧瑾和灵活配置混合A,1.5640,1.5640,1.5820,1.5820,-0.0180,-1.14,限大额,开放赎回,0.15%
001174,ZOJHLHPZHHC,混合型,中欧瑾和灵活配置混合C,1.52,1.52,1.5360,1.5360,-0.0160,-1.04,限大额,开放赎回,0.00%
001178,QHKYZRZGP,股票型,前海开源再融资股票,1.5780,2.1580,1.5860,2.1660,-0.0080,-0.50,开放申购,开放赎回,0.15%
001179,DBDJKLHPZHH,混合型,德邦大健康灵活配置混合,1.7552,1.9718,1.7513,1.9679,0.0039,0.22,开放申购,开放赎回,0.15%
001180,GFYYWSLJA,联接基金,广发医药卫生联接A,1.2961,1.2961,1.3166,1.3166,-0.0205,-1.56,开放申购,开放赎回,0.12%
001181,NFGGJY,混合型,南方改革机遇,1.8350,1.8350,1.8610,1.8610,-0.0260,-1.40,开放申购,开放赎回,0.15%
001182,YFDAXHKHH,混合型,易方达安心回馈混合,2.4050,2.4050,2.3990,2.3990,0.0060,0.25,开放申购,开放赎回,0.10%
001183,NFLTA,混合型,南方利淘A,1.5360,1.5360,1.5410,1.5410,-0.0050,-0.32,限大额,开放赎回,0.12%
001184,YFDXCTLHPZHH,混合型,易方达新常态灵活配置混合,0.7990,0.7990,0.8070,0.8070,-0.0080,-0.99,开放申购,开放赎回,0.15%
001185,AXDTCLHHA,混合型,安信动态策略混合A,1.4992,1.4992,1.4950,1.4950,0.0042,0.28,开放申购,开放赎回,0.10%
001186,FGWTJKGPA,股票型,富国文体健康股票A,2.2770,2.2770,2.2830,2.2830,-0.0060,-0.26,开放申购,开放赎回,0.15%
001188,PHGGHLGP,股票型,鹏华改革红利股票,1.4540,1.4540,1.4790,1.4790,-0.0250,-1.69,开放申购,开放赎回,0.15%
001189,GFJBHHA,混合型,广发聚宝混合A,1.4812,1.4812,1.4784,1.4784,0.0028,0.19,限大额,开放赎回,0.15%
001190,PHHRHHA,混合型,鹏华弘润混合A,1.4190,1.4190,1.4209,1.4209,-0.0019,-0.13,限大额,开放赎回,0.15%
001191,PHHRHHC,混合型,鹏华弘润混合C,1.3892,1.3892,1.3911,1.3911,-0.0019,-0.14,限大额,开放赎回,0.15%
001192,STMGZHQDHH,混合型,上投摩根整合驱动混合,1.0430,1.0430,1.0586,1.0586,-0.0156,-1.47,开放申购,开放赎回,0.15%
001193,ZJXFSJ,股票型,中金消费升级,1.6940,1.6940,1.71,1.71,-0.0160,-0.94,开放申购,开放赎回,0.15%
001194,JSCCWJHBHHA,混合型,景顺长城稳健回报混合A,1.42,1.42,1.4230,1.4230,-0.0030,-0.21,限大额,开放赎回,1.00%
001195,GYNYCYGP,股票型,工银农业产业股票,1.4070,1.4070,1.4080,1.4080,-0.0010,-0.07,开放申购,开放赎回,0.15%
001196,DFDXLHPZHHA,混合型,东方鼎新灵活配置混合A,1.6044,1.6044,1.6076,1.6076,-0.0032,-0.20,限大额,开放赎回,0.08%
001197,CSZXSJZTLHPZHH,混合型,长盛转型升级主题灵活配置混合,1.5970,1.5970,1.61,1.61,-0.0130,-0.81,开放申购,开放赎回,0.15%
001198,DFHXLHPZHHA,混合型,东方惠新灵活配置混合A,1.3021,1.3355,1.3020,1.3354,0.0001,0.01,限大额,开放赎回,0.08%
001199,CJHXJLZQA,债券型,创金合信聚利债券A,1.1949,1.1949,1.1945,1.1945,0.0004,0.03,开放申购,开放赎回,0.08%
001200,CJHXJLZQC,债券型,创金合信聚利债券C,1.1666,1.1666,1.1662,1.1662,0.0004,0.03,开放申购,开放赎回,0.00%
001201,SWLXAXHBHHA,混合型,申万菱信安鑫回报混合A,1.4420,1.4980,1.4460,1.5020,-0.0040,-0.28,限大额,开放赎回,0.07%
001202,DFHLXJXHH,混合型,东方红领先精选混合,1.5080,1.6280,1.5120,1.6320,-0.0040,-0.26,开放申购,开放赎回,1.00%
001203,DFHWJJXHHA,混合型,东方红稳健精选混合A,1.6190,1.6640,1.6171,1.6621,0.0019,0.12,开放申购,开放赎回,1.50%
001204,DFHWJJXHHC,混合型,东方红稳健精选混合C,1.6267,1.6717,1.6249,1.6699,0.0018,0.11,开放申购,开放赎回,0.00%
001208,NADTJJGPA,股票型,诺安低碳经济股票A,1.7980,1.7980,1.7880,1.7880,0.01,0.56,开放申购,开放赎回,0.15%
001209,QHKYYDYLHHA,混合型,前海开源一带一路混合A,1.8350,1.8350,1.8730,1.8730,-0.0380,-2.03,开放申购,开放赎回,0.15%
001210,THHLWHH,混合型,天弘互联网混合,1.2391,1.2391,1.2271,1.2271,0.0120,0.98,开放申购,开放赎回,0.15%
001212,HRYDWJZQA,债券型,华润元大稳健债券A,1.0470,1.0740,1.0460,1.0730,0.0010,0.10,开放申购,开放赎回,0.08%
001213,HRYDWJZQC,债券型,华润元大稳健债券C,1.0350,1.0550,1.0350,1.0550,0,0.00,开放申购,开放赎回,0.00%
001214,HTBRZZ500ETFLJA,联接基金,华泰柏瑞中证500ETF联接A,0.7616,0.7616,0.7666,0.7666,-0.0050,-0.65,开放申购,开放赎回,0.10%
001215,BSHGSYZQYJJA,混合型,博时沪港深优质企业基金A,1.73,1.73,1.74,1.74,-0.01,-0.57,开放申购,开放赎回,0.15%
001216,YFDXSYHHA,混合型,易方达新收益混合A,3.9710,3.9710,4.03,4.03,-0.0590,-1.46,开放申购,开放赎回,0.12%
001217,YFDXSYHHC,混合型,易方达新收益混合C,3.8780,3.8780,3.9360,3.9360,-0.0580,-1.47,开放申购,开放赎回,0.00%
001218,GTRYJXSYHH,混合型,国投瑞银精选收益混合,1.3460,1.3470,1.3340,1.3350,0.0120,0.90,开放申购,开放赎回,0.15%
001219,STMGDTDYZHH,混合型,上投摩根动态多因子混合,1.1630,1.1630,1.1744,1.1744,-0.0114,-0.97,开放申购,开放赎回,0.15%
001220,MSJYYJJXHH,混合型,民生加银研究精选混合,1.7910,1.7910,1.8220,1.8220,-0.0310,-1.70,开放申购,开放赎回,0.15%
001222,PHWYCZHH,混合型,鹏华外延成长混合,2.5210,2.5210,2.5630,2.5630,-0.0420,-1.64,开放申购,开放赎回,0.15%
001223,PHWHCMYLGP,股票型,鹏华文化传媒娱乐股票,1.4830,1.4830,1.4970,1.4970,-0.0140,-0.94,开放申购,开放赎回,0.15%
001224,ZYXSLLHPZHH,混合型,中邮新思路灵活配置混合,3.2580,3.2580,3.3170,3.3170,-0.0590,-1.78,开放申购,开放赎回,0.15%
001225,ZYQSJXLHPZHH,混合型,中邮趋势精选灵活配置混合,0.8570,0.8570,0.8660,0.8660,-0.0090,-1.04,开放申购,开放赎回,0.15%
001226,ZYWJTLLHPZHH,混合型,中邮稳健添利灵活配置混合,1.6030,1.7330,1.6040,1.7340,-0.0010,-0.06,开放申购,开放赎回,0.15%
001227,ZYXXCYLHPZHH,混合型,中邮信息产业灵活配置混合,1.1540,1.1540,1.1530,1.1530,0.0010,0.09,开放申购,开放赎回,0.15%
001228,GLAXXLHPZHHA,混合型,国联安鑫享灵活配置混合A,1.1553,1.3093,1.1577,1.3117,-0.0024,-0.21,限大额,开放赎回,0.15%
001229,DBFXLHPZHHA,混合型,德邦福鑫灵活配置混合A,1.7414,1.7414,1.7510,1.7510,-0.0096,-0.55,开放申购,开放赎回,0.15%
001230,PHYYKJ,股票型,鹏华医药科技,1.3370,1.3370,1.3490,1.3490,-0.0120,-0.89,开放申购,开放赎回,0.15%
001231,YHTLLHPZHHA,混合型,银华泰利灵活配置混合A,1.7170,1.7170,1.7190,1.7190,-0.0020,-0.12,限大额,开放赎回,1.00%
001235,ZYGYQYZA,债券型,中银国有企业债A,1.0470,1.2310,1.0460,1.23,0.0010,0.10,开放申购,开放赎回,0.08%
001236,BSSLZTGPA,股票型,博时丝路主题股票A,2.15,2.15,2.1770,2.1770,-0.0270,-1.24,开放申购,开放赎回,0.15%
001237,BSSZ50ETFLJA,联接基金,博时上证50ETF联接A,1.4673,1.4673,1.4791,1.4791,-0.0118,-0.80,开放申购,开放赎回,0.12%
001239,CSGQGGHH,混合型,长盛国企改革混合,0.6920,0.6920,0.6940,0.6940,-0.0020,-0.29,开放申购,开放赎回,0.15%
001241,GSABZZ500ETFLJ,联接基金,国寿安保中证500ETF联接,0.6382,0.6382,0.6424,0.6424,-0.0042,-0.65,开放申购,开放赎回,0.12%
001242,BSZZTJDSJ100A,股票指数,博时中证淘金大数据100A,1.1963,1.1963,1.2015,1.2015,-0.0052,-0.43,开放申购,开放赎回,0.12%
001243,BSZZTJDSJ100I,股票指数,博时中证淘金大数据100I,1.1966,1.1966,1.2019,1.2019,-0.0053,-0.44,开放申购,开放赎回,0.60%
001244,HTBRLHZHHHA,混合型,华泰柏瑞量化智慧混合A,1.3126,1.5029,1.3122,1.5025,0.0004,0.03,开放申购,开放赎回,0.15%
001245,GYSTHJGP,股票型,工银生态环境股票,1.8690,1.8690,1.9160,1.9160,-0.0470,-2.45,开放申购,开放赎回,0.15%
001246,XYCLDKZ,定开债券,兴银长乐定开债,1.0090,1.2870,1.0090,1.2870,0,0.00,封闭期,封闭期,0.01%
