基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
160627,PHCLYXLHPZHH,混合型,鹏华策略优选灵活配置混合,3.1530,2.6760,3.1750,2.6940,-0.0220,-0.69,开放申购,开放赎回,0.15%
160628,PHZZ800DCZSLOF,股票指数,鹏华中证800地产指数(LOF),1.0810,1.7890,1.0770,1.7870,0.0040,0.37,开放申购,开放赎回,0.12%
160629,PHZZCMZSLOF,股票指数,鹏华中证传媒指数(LOF),1.0580,1.2280,1.0590,1.2290,-0.0010,-0.09,开放申购,开放赎回,0.12%
160630,PHZZGFZSLOF,股票指数,鹏华中证国防指数(LOF),1.4850,1.3960,1.5160,1.4070,-0.0310,-2.04,开放申购,开放赎回,0.12%
160631,PHZZYHZSLOF,股票指数,鹏华中证银行指数(LOF),0.9960,1.1230,0.9970,1.1240,-0.0010,-0.10,开放申购,开放赎回,0.12%
160632,PHJ,股票指数,鹏华酒,1.1220,2.4010,1.1350,2.41,-0.0130,-1.15,开放申购,开放赎回,0.12%
160633,PHZZQZZQGSZSLOF,股票指数,鹏华中证全指证券公司指数(LOF),1.2480,0.70,1.2750,0.71,-0.0270,-2.12,开放申购,开放赎回,0.12%
160634,PHZZHBCYZSLOF,股票指数,鹏华中证环保产业指数(LOF),1.2270,0.90,1.24,0.9090,-0.0130,-1.05,开放申购,开放赎回,0.12%
160635,PHZZYYWSLOFA,股票指数,鹏华中证医药卫生(LOF)A,1.5860,1.4350,1.61,1.4560,-0.0240,-1.49,开放申购,开放赎回,0.12%
160636,PHZZYDHLWZSLOF,股票指数,鹏华中证移动互联网指数(LOF),1.0650,1.0710,1.0660,1.0720,-0.0010,-0.09,开放申购,开放赎回,0.12%
160637,PHCYBZSLOF,股票指数,鹏华创业板指数(LOF),1.3390,0.7980,1.3590,0.8060,-0.02,-1.47,开放申购,开放赎回,0.12%
