基金代码,scale,m_fee,c_fee,sale_fee,sub_fee
000547,1.43,1.5,0.25,0.0,0.15
000549,1.5,1.5,0.25,0.0,0.15
000550,5.57,1.5,0.25,0.0,0.15
000551,2.25,1.5,0.25,0.0,0.15
000554,1.66,1.5,0.25,0.0,0.15
000561,14.55,0.3,0.1,0.0,0.08
000562,1.21,0.3,0.1,0.4,0.00
000566,38.36,1.5,0.25,0.0,0.12
000567,2.31,1.5,0.25,0.0,0.15
000572,20.53,1.5,0.25,0.0,0.15
000574,7.06,1.5,0.25,0.0,0.15
000578,0.22,0.7,0.2,0.0,0.06
000579,0.04,0.7,0.2,0.4,0.00
000584,6.4,1.5,0.25,0.5,0.00
000586,4.55,1.5,0.25,0.0,0.15
000587,1.73,1.5,0.25,0.0,0.15
000589,2.07,1.5,0.25,0.0,0.15
000591,0.74,1.5,0.25,0.0,0.15
000592,7.47,1.5,0.25,0.0,0.15
000593,0.51,1.2,0.35,0.0,1.20
000594,2.33,1.5,0.25,0.0,0.15
000596,9.51,1.0,0.2,0.0,0.12
000597,3.37,0.8,0.25,0.05,0.08
000598,1.76,1.5,0.25,0.0,0.15
000601,23.64,1.5,0.25,0.0,0.15
000603,20.86,1.5,0.25,0.0,0.15
000606,126.76,0.4,0.1,0.0,0.06
000609,5.04,1.5,0.25,0.0,0.15
000612,4.35,1.5,0.25,0.0,0.15
000613,53.83,0.5,0.1,0.0,0.10
000619,61.82,0.0,0.25,0.0,1.50
000628,20.74,1.5,0.25,0.0,0.15
000634,8.63,1.5,0.25,0.0,0.15
000639,0.1,0.6,0.2,0.0,0.12
000649,0.78,1.5,0.25,0.0,0.15
000652,20.85,1.5,0.25,0.0,0.15
000654,16.38,1.5,0.25,0.0,0.15
000655,5.24,0.3,0.1,0.0,0.06
000663,4.6,1.5,0.25,0.0,0.15
000668,10.9,0.7,0.2,0.0,0.08
000669,0.64,0.7,0.2,0.4,0.00
000673,0.0,0.6,0.2,0.3,0.00
000674,7.07,0.3,0.1,0.0,0.04
000679,0.59,1.5,0.25,0.0,0.15
000684,0.92,1.5,0.25,0.0,0.15
000688,2.92,1.5,0.25,0.0,0.15
000689,1.28,1.5,0.25,0.0,0.15
000690,3.32,1.5,0.25,0.0,0.15
000692,7.56,0.7,0.2,0.4,0.00
000694,5.44,0.6,0.2,0.0,0.06
000696,30.72,1.5,0.25,0.0,0.15
000697,69.07,1.5,0.25,0.0,0.15
000698,20.51,1.5,0.25,0.0,0.15
000706,0.01,1.5,0.25,0.0,0.15
000711,14.28,1.5,0.25,0.0,0.15
000714,0.06,0.6,0.25,0.0,0.15
000717,8.68,1.5,0.25,0.0,0.15
000723,0.06,0.7,0.2,0.4,0.00
000727,21.02,1.5,0.25,0.0,0.15
000729,2.58,1.5,0.25,0.0,0.15
000736,0.09,0.7,0.2,0.0,0.08
000737,0.05,0.7,0.2,0.4,0.00
000739,0.51,1.5,0.25,0.0,0.12
000742,9.83,1.5,0.25,0.0,0.15
000743,2.49,1.0,0.2,0.0,0.08
000744,0.04,0.3,0.1,0.0,0.08
000745,0.33,0.3,0.1,0.35,0.00
000746,42.26,1.5,0.25,0.0,0.15
000747,1.09,1.5,0.25,0.0,0.15
000753,26.53,1.0,0.2,0.0,0.08
000754,5.32,1.0,0.2,0.4,0.00
000755,1.3,1.5,0.25,0.0,0.15
000756,0.73,1.5,0.25,0.0,0.15
000757,0.67,1.5,0.25,0.0,0.15
000761,7.3,1.0,0.2,0.0,0.15
000767,0.62,1.5,0.25,0.0,0.15
000772,20.45,1.5,0.25,0.0,0.15
000778,4.75,1.5,0.25,0.0,0.15
000780,11.63,1.5,0.25,0.0,0.15
000788,0.7,1.5,0.25,0.0,0.15
000793,17.05,1.5,0.25,0.0,0.15
000794,0.68,1.5,0.25,0.0,0.12
000796,0.91,1.5,0.25,0.8,0.00
000800,7.06,1.5,0.25,0.0,0.15
000801,0.96,0.7,0.2,0.0,0.08
000802,0.13,0.7,0.2,0.4,0.00
000803,1.04,1.5,0.25,0.0,0.15
000804,0.33,1.5,0.2,0.0,0.12
000805,3.68,1.5,0.25,0.0,0.15
000810,7.15,0.7,0.2,0.0,0.08
000812,1.62,0.7,0.2,0.4,0.00
000814,0.01,0.3,0.1,0.1,0.00
000822,0.13,1.5,0.25,0.0,0.15
000823,3.49,1.5,0.25,0.0,0.15
000826,2.04,0.5,0.1,0.0,0.12
000827,3.86,0.5,0.1,0.0,0.06
000828,2.95,1.5,0.25,0.0,0.12
000831,42.22,1.5,0.25,0.0,0.15
000833,0.36,0.3,0.1,0.4,0.00
000834,11.76,0.8,0.25,0.0,0.12
000835,3.12,0.6,0.15,0.0,0.12
000839,6.41,0.3,0.1,0.0,0.08
000840,0.01,0.3,0.1,0.1,0.00
000845,0.68,1.5,0.25,0.0,0.15
000849,6.32,1.5,0.25,0.0,0.15
000850,0.72,1.5,0.25,0.5,0.00
000859,0.0,0.7,0.2,0.4,0.00
000866,3.1,1.5,0.25,0.0,0.15
000867,1.78,1.5,0.25,0.0,0.15
000870,7.12,1.0,0.2,0.0,0.06
000877,5.69,1.5,0.25,0.0,0.15
000878,6.9,1.5,0.25,0.0,0.15
000879,2.66,1.5,0.25,1.0,0.00
000880,5.57,1.5,0.25,0.0,0.15
000887,0.15,1.2,0.25,0.0,0.10
000889,0.04,0.3,0.1,0.0,0.08
000890,0.02,0.3,0.1,0.4,0.00
000892,0.1,0.8,0.15,0.0,0.15
000893,6.13,1.5,0.25,0.0,0.15
000896,0.14,0.7,0.2,0.0,0.06
000897,0.03,0.7,0.2,0.4,0.00
000898,13.85,0.3,0.1,0.0,0.08
000899,0.01,0.3,0.1,0.4,0.00
000906,23.84,1.8,0.35,0.0,1.60
000910,0.0,0.3,0.1,0.1,0.00
000911,4.46,0.3,0.1,0.0,0.04
000913,31.47,1.5,0.25,0.0,0.15
000914,18.54,0.4,0.1,0.0,0.06
000916,2.08,1.5,0.25,0.0,0.15
000924,26.02,1.5,0.25,0.0,0.15
000925,30.5,1.5,0.25,0.0,0.15
000926,4.1,0.8,0.2,0.0,0.12
000927,1.02,1.8,0.35,0.0,1.60
000928,0.65,1.5,0.25,0.0,0.15
000934,17.4,1.5,0.27,0.0,0.15
000935,1.08,1.5,0.25,0.0,0.15
000936,7.06,1.5,0.25,0.0,0.15
000939,5.26,1.5,0.25,0.0,0.15
000940,10.83,1.5,0.25,0.0,0.15
000942,3.08,0.5,0.1,0.0,0.12
000945,17.04,1.5,0.25,0.0,0.12
000946,4.15,1.5,0.25,0.5,0.00
000948,5.52,0.5,0.1,0.0,0.12
000950,15.71,0.5,0.1,0.0,0.10
000951,0.09,0.27,0.08,0.3,0.00
000952,0.12,0.27,0.08,0.01,0.00
000955,8.53,1.5,0.25,0.0,0.15
000960,32.26,1.5,0.25,0.0,0.15
000961,26.84,0.5,0.1,0.0,0.10
000962,15.53,0.5,0.1,0.0,0.10
000963,3.12,1.5,0.25,0.0,0.15
000965,2.49,1.5,0.25,0.0,0.15
000966,1.38,1.5,0.25,0.0,0.15
000968,10.56,0.5,0.1,0.0,0.12
000969,2.19,1.5,0.25,0.0,0.15
000971,13.54,1.5,0.25,0.0,0.15
000972,0.19,1.5,0.25,0.0,0.15
000975,3.4,0.5,0.1,0.0,0.12
000976,1.63,1.5,0.25,0.0,0.15
000978,5.79,1.5,0.25,0.0,0.15
000979,27.02,1.5,0.25,0.0,0.15
000985,8.83,1.5,0.25,0.0,0.15
000986,21.13,1.5,0.25,0.0,0.15
000988,11.41,1.8,0.35,0.0,0.15
000989,6.11,1.8,0.35,0.0,1.50
000990,6.11,1.8,0.35,0.0,1.50
000993,2.63,1.5,0.25,0.0,0.15
000994,0.59,1.5,0.25,0.0,0.15
000995,0.34,1.5,0.25,0.8,0.00
000996,15.51,1.5,0.25,0.0,0.15
000997,1.93,0.3,0.1,0.0,0.08
000998,0.18,0.3,0.1,0.4,0.00
001000,39.36,1.5,0.25,0.0,0.15
001004,1.69,0.0,0.25,0.0,0.12
001008,11.18,1.5,0.25,0.0,0.15
001009,9.1,1.5,0.25,0.0,0.15
001011,12.63,0.7,0.2,0.0,0.10
001013,4.35,0.7,0.2,0.3,0.00
001014,0.18,0.8,0.25,0.0,0.15
001015,8.35,1.0,0.2,0.0,0.12
001016,4.03,1.0,0.2,0.5,0.00
001017,2.34,1.5,0.25,0.0,0.15
001018,24.69,1.5,0.25,0.0,0.15
001021,77.26,0.13,0.05,0.0,0.08
001023,0.36,0.13,0.05,0.4,0.00
001027,8.15,1.2,0.25,0.0,0.12
001028,7.11,1.5,0.25,0.0,0.15
001030,2.48,1.5,0.25,0.0,0.15
001031,1.55,0.6,0.2,0.0,0.08
001033,0.8,0.6,0.2,0.3,0.00
001036,6.69,1.5,0.25,0.0,0.15
001037,5.07,1.5,0.25,0.0,0.15
001039,14.94,1.5,0.25,0.0,0.15
001040,8.55,1.5,0.25,0.0,0.15
001042,17.33,1.5,0.25,0.0,0.15
001043,8.62,1.5,0.25,0.0,0.15
001045,4.72,0.7,0.2,0.0,0.08
001046,0.0,0.7,0.2,0.0,0.00
001047,9.54,1.5,0.25,0.0,0.15
001048,14.02,1.5,0.25,0.0,0.15
001050,6.98,1.5,0.25,0.0,0.15
001051,15.22,0.5,0.1,0.0,0.12
001052,24.21,0.5,0.1,0.0,0.12
001053,30.8,1.5,0.25,0.0,0.15
001054,17.74,1.5,0.25,0.0,0.15
001056,2.11,1.5,0.25,0.0,0.15
001060,1.35,1.5,0.25,0.0,0.15
001064,16.12,0.5,0.1,0.0,0.12
001068,0.35,1.5,0.25,0.0,0.12
001069,5.73,1.5,0.25,0.0,0.15
001070,5.11,1.5,0.25,0.0,0.15
001072,7.31,1.5,0.25,0.0,0.15
001074,4.84,1.5,0.25,0.0,0.15
001075,14.79,1.5,0.25,0.0,0.15
001076,13.05,1.5,0.25,0.0,0.15
001086,5.07,0.6,0.2,0.0,0.08
001087,0.0,0.6,0.2,0.4,0.00
001088,5.98,1.5,0.25,0.0,0.15
001097,2.65,1.5,0.25,0.0,0.15
001102,49.04,1.5,0.25,0.0,0.15
001103,6.79,1.5,0.25,0.0,0.15
001104,21.13,1.5,0.25,0.0,0.15
001105,4.25,1.5,0.25,0.0,0.15
001106,5.58,1.5,0.25,0.0,0.15
001112,64.55,1.5,0.25,0.0,1.50
001113,30.44,0.5,0.1,0.0,0.12
001118,13.86,1.5,0.25,0.0,0.15
001120,0.26,1.5,0.25,0.0,0.12
001121,1.12,1.5,0.25,0.8,0.00
001124,0.11,0.7,0.2,0.35,0.00
001125,9.02,1.5,0.25,0.0,0.15
001126,23.19,1.5,0.25,0.0,0.15
001127,9.54,1.5,0.25,0.0,0.15
001128,14.23,1.5,0.25,0.0,0.15
001133,2.52,0.5,0.1,0.0,0.12
001135,1.64,1.5,0.25,0.0,0.15
001140,6.82,1.5,0.25,0.0,0.15
001141,4.96,0.7,0.2,0.0,0.10
001142,0.98,0.7,0.2,0.3,0.00
001143,10.76,1.5,0.25,0.0,0.15
001144,5.13,1.5,0.25,0.0,0.12
001149,0.1,0.75,0.15,0.5,0.00
001150,17.01,1.5,0.25,0.0,0.15
001152,7.62,1.5,0.25,0.0,0.15
001154,0.29,1.5,0.25,0.0,0.15
001156,35.97,1.5,0.25,0.0,0.15
001158,21.34,1.5,0.25,0.0,0.15
001162,1.4,1.0,0.25,0.0,0.15
001163,12.98,1.5,0.25,0.0,0.15
001164,10.61,0.6,0.1,0.0,0.10
001166,14.52,1.5,0.25,0.0,0.15
001167,4.62,1.5,0.25,0.0,0.15
001170,11.72,1.5,0.25,0.0,0.15
001171,30.21,1.5,0.25,0.0,0.15
001178,27.78,1.5,0.25,0.0,0.15
001179,3.53,1.5,0.25,0.0,0.15
001180,10.59,0.5,0.1,0.0,0.12
001181,4.59,1.5,0.25,0.0,0.15
001182,27.08,0.6,0.25,0.0,0.10
001184,33.36,1.5,0.25,0.0,0.15
001185,2.76,1.0,0.2,0.0,0.10
001186,18.4,1.5,0.25,0.0,0.15
001188,5.57,1.5,0.25,0.0,0.15
001192,8.15,1.5,0.25,0.0,0.15
001193,1.85,1.5,0.25,0.0,0.15
001195,10.21,1.5,0.25,0.0,0.15
001197,8.82,1.5,0.25,0.0,0.15
001199,0.06,0.7,0.2,0.0,0.08
001200,0.02,0.7,0.2,0.4,0.00
001202,7.82,0.7,0.2,0.0,1.00
001203,14.77,0.6,0.1,0.0,1.50
001204,5.31,0.6,0.1,0.5,0.00
001208,5.4,1.5,0.25,0.0,0.15
001209,1.56,1.5,0.25,0.0,0.15
001210,16.32,1.5,0.25,0.0,0.15
001212,0.03,0.7,0.2,0.0,0.08
001213,0.04,0.7,0.2,0.4,0.00
001214,1.45,0.15,0.05,0.0,0.10
001215,3.1,1.5,0.25,0.0,0.15
001216,15.6,0.6,0.2,0.0,0.12
001217,10.09,0.6,0.2,0.2,0.00
001218,11.53,1.5,0.25,0.0,0.15
001219,2.77,1.5,0.25,0.0,0.15
001220,3.35,1.5,0.25,0.0,0.15
001222,44.06,1.5,0.25,0.0,0.15
001223,1.51,1.5,0.25,0.0,0.15
001224,19.23,1.5,0.25,0.0,0.15
001225,18.63,1.5,0.25,0.0,0.15
001226,0.65,1.0,0.22,0.0,0.15
001227,17.34,1.5,0.25,0.0,0.15
001229,0.11,0.6,0.25,0.0,0.15
001230,16.99,1.5,0.25,0.0,0.15
001235,11.27,0.3,0.1,0.0,0.08
001236,7.85,1.5,0.25,0.0,0.15
001237,2.73,0.3,0.1,0.0,0.12
001239,7.53,1.5,0.25,0.0,0.15
001241,8.51,0.5,0.1,0.0,0.12
001242,3.5,0.6,0.1,0.0,0.12
001243,1.2,0.6,0.1,0.0,0.60
001244,6.03,1.5,0.25,0.0,0.15
001245,12.46,1.5,0.25,0.0,0.15
001252,0.56,0.8,0.2,0.2,0.08
001254,4.75,0.6,0.25,0.0,0.15
001255,3.66,1.5,0.25,0.0,0.15
001256,37.42,1.5,0.25,0.0,0.15
001257,3.41,0.7,0.2,0.0,0.08
001258,1.1,0.7,0.2,0.4,0.00
001261,0.48,1.5,0.25,0.0,0.15
001264,0.45,0.6,0.1,0.0,0.06
001266,0.7,1.5,0.25,0.0,0.15
001267,0.77,1.5,0.25,0.0,0.15
001268,10.63,1.5,0.25,0.0,0.15
001270,0.01,0.6,0.25,0.0,0.10
001271,0.51,0.6,0.25,0.5,0.00
001272,1.91,1.2,0.1,0.0,0.15
001275,2.51,1.5,0.25,0.0,0.15
001276,2.26,1.5,0.25,0.0,0.15
001277,6.83,1.5,0.25,0.0,0.15
001278,3.31,1.5,0.25,0.0,0.15
001279,0.99,1.5,0.25,0.0,0.15
001280,8.14,0.6,0.15,0.0,0.06
001281,0.26,1.0,0.2,0.0,0.15
001282,0.59,1.5,0.25,0.0,0.12
001283,0.11,1.5,0.15,0.0,0.10
001284,2.32,1.5,0.15,0.25,0.00
001287,2.84,1.0,0.2,0.0,0.10
001289,34.95,0.6,0.15,0.0,0.06
001291,2.98,1.5,0.25,0.0,0.15
001294,2.42,1.5,0.25,0.0,0.15
001296,1.14,1.5,0.25,0.0,0.15
001297,13.84,1.5,0.25,0.0,0.15
001298,1.29,0.8121036501001004,0.25,0.0,0.15
001300,10.54,1.5,0.25,0.0,0.15
001301,5.53,1.5,0.25,0.8,0.00
001302,9.69,1.5,0.25,0.0,0.15
001305,5.6,1.5,0.25,0.0,0.15
001306,8.42,1.5,0.25,0.0,0.15
001307,0.37,1.5,0.25,0.8,0.00
001313,10.08,1.5,0.25,0.0,0.15
001319,7.16,1.5,0.25,0.0,0.15
001322,3.21,1.5,0.25,0.0,0.15
001323,0.78,1.5,0.25,0.0,0.15
001335,6.78,1.0,0.2,0.0,0.15
001339,0.53,1.0,0.1,0.0,0.05
001344,2.53,0.5,0.1,0.0,0.10
001349,26.72,1.5,0.25,0.0,0.15
001351,0.93,1.0,0.15,0.0,0.12
001357,46.78,0.7,0.15,0.0,0.15
001361,4.23,0.5,0.1,0.0,0.12
001363,0.69,1.0,0.2,0.0,0.15
001365,0.86,1.5,0.25,0.0,0.15
001366,2.38,1.5,0.25,0.0,0.15
001367,2.21,0.7,0.15,0.0,0.08
001370,7.29,1.2,0.2,0.0,0.15
001371,74.86,1.5,0.25,0.0,0.15
001373,57.64,1.5,0.25,0.0,0.15
001375,1.92,1.5,0.25,0.0,0.00
001376,0.03,0.7,0.15,0.5,0.08
001382,3.02,1.5,0.25,0.0,0.15
001384,2.46,1.0,0.2,0.0,0.08
001385,2.26,1.0,0.2,0.4,0.00
001387,2.48,0.6,0.1,0.0,0.15
001388,1.04,0.6,0.1,0.1,0.00
001392,0.17,0.8,0.25,0.0,0.15
001393,0.13,0.8,0.25,0.5,0.00
001396,5.32,1.5,0.25,0.0,0.15
001397,0.5,1.0,0.2,0.0,0.15
001398,2.72,1.5,0.25,0.0,0.15
001403,3.7,1.5,0.25,0.0,0.15
001404,7.9,1.5,0.25,0.0,0.15
001405,9.63,0.6,0.1,0.0,1.00
001406,7.86,0.6,0.1,0.5,0.00
001409,50.46,1.5,0.25,0.0,0.15
001410,125.76,1.5,0.25,0.0,0.15
001412,3.69,0.7,0.15,0.0,0.15
001416,24.76,1.5,0.25,0.0,0.15
001417,54.32,1.5,0.25,0.0,0.15
001418,4.05,0.7,0.17,0.0,0.10
001419,5.75,0.6,0.25,0.0,0.15
001420,3.07,0.5,0.15,0.0,0.12
001421,2.8,1.5,0.25,0.0,0.15
001426,0.53,0.5,0.15,0.4,0.00
001430,6.52,0.6,0.2,0.0,0.15
001437,2.2,0.8,0.15,0.0,0.06
001438,0.3,0.8,0.15,0.2,0.00
001443,12.04,0.6,0.12,0.0,0.06
001444,5.25,0.6,0.12,0.2,0.00
001445,6.16,1.5,0.25,0.0,0.15
001448,0.26,0.6,0.25,0.0,0.12
001449,13.17,1.5,0.25,0.0,0.15
001455,0.78,0.5,0.1,0.0,0.12
001457,2.72,1.5,0.25,0.0,0.15
001463,2.55,1.5,0.25,0.0,0.15
001466,0.0,0.6,0.15,0.0,0.15
001467,0.05,0.6,0.15,0.1,0.00
001468,5.44,1.5,0.25,0.0,0.15
001469,9.04,0.5,0.1,0.0,0.12
001471,5.52,1.5,0.25,0.0,0.15
001473,4.18,1.5,0.25,0.0,0.15
001474,0.23,0.8,0.1,0.0,0.05
001475,84.24,1.5,0.25,0.0,0.15
001476,14.61,1.5,0.25,0.0,0.15
001479,1.06,1.5,0.25,0.0,0.15
001480,21.35,1.5,0.25,0.0,0.15
001482,0.7,1.5,0.25,0.0,0.15
001487,0.8,1.5,0.25,0.0,0.15
001490,8.52,1.5,0.25,0.0,0.15
001496,3.62,1.5,0.25,0.0,0.15
001505,1.15,1.0,0.2,0.1,0.00
001506,0.61,0.6,0.2,0.0,1.00
